MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[120, 60, 40]",0.0001,0.6,1,epoch_53,0.8933,0.0019,0.8507,0.1062,0.618,0.2367,53,0.8933,0.8151,0.4236,1.5642
"[30, 20]",0.0001,0.6,3,epoch_475,0.8452,0.1336,0.8161,0.175,0.592,0.2714,138,0.8943,0.8053,0.3768,1.227
"[60, 60]",0.0001,0.6,3,epoch_202,0.8613,0.0979,0.831,0.1651,0.6131,0.2632,79,0.8985,0.8224,0.4063,1.4054
"[60, 60, 40]",0.0001,0.6,3,epoch_177,0.8725,0.0863,0.8464,0.1433,0.6266,0.2585,58,0.8933,0.8203,0.4353,1.7783
"[120, 60, 20]",0.0001,0.6,3,epoch_236,0.8528,0.1227,0.8321,0.1619,0.6174,0.2691,71,0.8933,0.8207,0.4229,1.3546
"[120, 60, 40]",0.0001,0.6,3,epoch_136,0.8763,0.0783,0.8503,0.1324,0.6235,0.2483,56,0.8933,0.82,0.4362,1.5568
"[30, 20]",0.001,0,1,epoch_38,0.8184,0.1642,0.8043,0.1929,0.5771,0.2668,15,0.9013,0.7877,0.3516,0.7824
"[60, 60]",0.001,0,1,epoch_23,0.8349,0.1436,0.807,0.1869,0.5753,0.2605,10,0.9027,0.8116,0.3857,0.8442
"[60, 60, 40]",0.001,0,1,epoch_7,0.8933,0.0019,0.8094,0.1531,0.5849,0.2818,7,0.8933,0.7991,0.39,1.1999
"[120, 60, 20]",0.001,0,1,epoch_20,0.833,0.1466,0.8182,0.1724,0.5854,0.2582,10,0.8985,0.8166,0.3688,0.877
"[120, 60, 40]",0.001,0,1,epoch_18,0.8481,0.1248,0.8202,0.172,0.5965,0.2519,9,0.8985,0.8221,0.3875,0.907
"[30, 20]",0.001,0,3,epoch_43,0.818,0.1602,0.8008,0.189,0.5713,0.2681,13,0.8961,0.7751,0.3409,0.8519
"[60, 60]",0.001,0,3,epoch_22,0.8406,0.1342,0.8102,0.1843,0.5809,0.2614,10,0.8999,0.8112,0.3759,0.8762
"[60, 60, 40]",0.001,0,3,epoch_18,0.8598,0.0951,0.8215,0.1697,0.5908,0.2545,7,0.8933,0.8016,0.3826,1.2344
"[120, 60, 20]",0.001,0,3,epoch_21,0.8406,0.1306,0.8145,0.1752,0.5846,0.2581,8,0.8933,0.8003,0.3729,1.014
"[120, 60, 40]",0.001,0,3,epoch_18,0.8438,0.1328,0.8208,0.1723,0.5992,0.2572,8,0.8933,0.8197,0.3936,0.9824
"[30, 20]",0.001,0.2,1,epoch_42,0.8292,0.1686,0.8057,0.1923,0.5866,0.2654,15,0.9027,0.7938,0.3606,0.8302
"[60, 60]",0.001,0.2,1,epoch_20,0.8486,0.1228,0.8195,0.1752,0.5867,0.2574,10,0.9023,0.8179,0.3943,0.8836
"[60, 60, 40]",0.001,0.2,1,epoch_19,0.8603,0.0918,0.8256,0.1667,0.5897,0.2568,7,0.8933,0.8035,0.3935,1.1812
"[120, 60, 20]",0.001,0.2,1,epoch_19,0.8485,0.126,0.8243,0.1677,0.5943,0.2542,10,0.898,0.8212,0.3863,0.911
