,0
Consensus_I,0.1491137593984604
Change_C,0.14727376401424408
Change_W,0.14680053293704987
Consensus_S,0.14019282162189484
Consensus_R,0.13807930052280426
Change_Q,0.13666364550590515
Change_F,0.1355365365743637
Consensus_D,0.13150711357593536
Consensus_G,0.1272614300251007
Consensus_P,0.12235620617866516
Consensus_A,0.12215626239776611
Consensus_E,0.12102606892585754
Consensus_Q,0.12098132818937302
Change_L,0.12002719938755035
Change_V,0.11889684945344925
Change_Y,0.11825680732727051
Change_D,0.11824680864810944
Consensus_M,0.1169741228222847
Change_G,0.1126120463013649
Change_R,0.1120404377579689
Change_N,0.11041200160980225
Consensus_L,0.10971240699291229
Change_S,0.10951046645641327
Consensus_K,0.1086244210600853
Change_P,0.1051679328083992
Consensus_N,0.10177478194236755
Change_E,0.09298907220363617
Consensus_H,0.09133654087781906
Consensus_Y,0.09056032449007034
Change_I,0.08791962265968323
Change_H,0.0872703343629837
Change_K,0.08527051657438278
Consensus_V,0.08482323586940765
Change_T,0.08440825343132019
Change_A,0.08298702538013458
Consensus_C,0.073274627327919
Change_X,0.07147851586341858
Consensus_F,0.06320525705814362
Consensus_T,0.05142618343234062
Change_M,0.04180656373500824
Position,0.01748388633131981
Domain_P2,0.009841280058026314
Domain_Central-domain,0.008765595965087414
Domain_SPRY1-third,0.007046230603009462
Domain_Channel-domain,0.006546312943100929
Domain_SPRY1-second,0.005729055497795343
Domain_HD2,0.004220668692141771
Domain_Handle-domain,0.002901575993746519
Domain_NTD,0.001468610716983676
Domain_SPRY3-first,-0.002190613653510809
Consensus_X,-0.002551935613155365
Domain_HD1,-0.003100368194282055
Signal_To_Noise,-0.0035357396118342876
Domain_P1,-0.00428790645673871
Conservation,-0.0047250851057469845
Consensus_W,-0.004760811571031809
Domain_SPRY2-first,-0.008381805382668972
Domain_SPRY2-second,-0.0098491869866848
Domain_SPRY3-second,-0.01038276869803667
Domain_SPRY1-first,-0.010736841708421707
