,0
Change_X,0.1325078159570694
Change_N,0.12638704478740692
Consensus_M,0.12472699582576752
Consensus_I,0.12386815249919891
Change_Y,0.11904966086149216
Consensus_D,0.11737118661403656
Change_D,0.11692945659160614
Consensus_L,0.11565801501274109
Change_G,0.11519694328308105
Consensus_K,0.11494532227516174
Change_I,0.1139359101653099
Change_V,0.11363528668880463
Change_T,0.11095765233039856
Consensus_T,0.10949159413576126
Change_A,0.1090821847319603
Consensus_N,0.10634531825780869
Change_E,0.10533562302589417
Change_S,0.10483666509389877
Change_H,0.10413448512554169
Change_R,0.1024760901927948
Consensus_S,0.10183095186948776
Consensus_H,0.10083595663309097
Consensus_G,0.10020684450864792
Consensus_P,0.09903032332658768
Consensus_E,0.09884731471538544
Consensus_V,0.0976928174495697
Change_K,0.09709945321083069
Change_C,0.09516369551420212
Consensus_R,0.09033254534006119
Consensus_W,0.08576469123363495
Consensus_Q,0.08551177382469177
Change_M,0.08311386406421661
Consensus_A,0.08188502490520477
Consensus_Y,0.08175703883171082
Change_L,0.08100158721208572
Consensus_C,0.07801930606365204
Change_W,0.0707295686006546
Change_Q,0.068214051425457
Change_P,0.06533946096897125
Change_F,0.059072352945804596
Consensus_F,0.05451492592692375
Domain_P1,0.006444643717259169
Domain_SPRY1-first,0.003944478463381529
Domain_HD2,0.0038850069977343082
Domain_SPRY1-third,0.0026906514540314674
Consensus_X,0.0025652174372226
Domain_P2,0.002160888398066163
Domain_Channel-domain,0.0019714173395186663
Domain_HD1,0.0008953965734690428
Domain_SPRY3-second,0.00019427115330472589
Domain_Handle-domain,-0.0005812240415252745
Domain_SPRY1-second,-0.0015217200852930546
Domain_SPRY3-first,-0.003991301637142897
Domain_SPRY2-first,-0.005577339790761471
Domain_NTD,-0.008286424912512302
Domain_SPRY2-second,-0.010187872685492039
Domain_Central-domain,-0.011445123702287674
Conservation,-0.05526058375835419
Position,-0.0630781427025795
