,0
Change_Y,0.2975901663303375
Consensus_K,0.29745808243751526
Change_X,0.2845107913017273
Change_E,0.2783114016056061
Change_N,0.20625053346157074
Consensus_Q,0.18465867638587952
Change_G,0.17129072546958923
Consensus_L,0.1661074459552765
Change_D,0.15976282954216003
Consensus_M,0.15924830734729767
Consensus_P,0.15368320047855377
Consensus_D,0.15022221207618713
Consensus_I,0.14213745296001434
Change_A,0.1295066624879837
Change_T,0.12393274158239365
Consensus_W,0.12252865731716156
Change_K,0.12049254775047302
Change_H,0.11542470008134842
Consensus_G,0.11006304621696472
Change_V,0.10320710390806198
Consensus_T,0.10045470297336578
Change_C,0.09603301435709
Consensus_Y,0.09545134752988815
Change_S,0.09534650295972824
Consensus_C,0.09146703779697418
Consensus_V,0.08375885337591171
Consensus_S,0.08361060917377472
Change_I,0.07932846248149872
Consensus_H,0.06478980928659439
Change_W,0.06233004853129387
Change_L,0.060372959822416306
Consensus_E,0.03618301451206207
Change_R,0.03613817319273949
Consensus_R,0.03392035514116287
Consensus_A,0.025020087137818336
Domain_HD1,0.019611626863479614
Change_Q,0.015624051913619041
Domain_SPRY3-first,0.014573756605386734
Domain_P1,0.01333546731621027
Domain_Handle-domain,0.013255011290311813
Domain_SPRY1-first,0.011219082400202751
Domain_SPRY3-second,0.008496027439832687
Change_M,0.006008963566273451
Domain_SPRY1-third,0.0049930233508348465
Domain_SPRY1-second,0.0036929321940988302
Domain_NTD,0.0034343439619988203
Domain_Channel-domain,0.0018119983142241836
Domain_HD2,-0.0001832400739658624
Consensus_X,-0.0017441994277760386
Domain_Central-domain,-0.004116956610232592
Domain_SPRY2-first,-0.005436437204480171
Change_P,-0.005832570139318705
Domain_SPRY2-second,-0.006281211972236633
Domain_P2,-0.006808050908148289
Consensus_F,-0.007005100138485432
Change_F,-0.010257180780172348
Consensus_N,-0.011696677654981613
Position,-0.059950266033411026
Conservation,-0.10845587402582169
