,0
Change_X,0.3172009587287903
Change_T,0.21826809644699097
Consensus_I,0.15990735590457916
Change_H,0.13517268002033234
Consensus_L,0.10404966026544571
Change_C,0.09236295521259308
Consensus_N,0.08916854113340378
Consensus_W,0.08780492842197418
Consensus_S,0.086908720433712
Consensus_K,0.080495685338974
Consensus_P,0.07329670339822769
Consensus_C,0.07208525389432907
Change_G,0.07178911566734314
Change_I,0.0717090293765068
Consensus_F,0.06697773188352585
Consensus_D,0.06582559645175934
Consensus_H,0.06502193957567215
Change_N,0.06191472336649895
Change_S,0.0617610402405262
Change_Q,0.060750626027584076
Consensus_A,0.05459565669298172
Consensus_V,0.053590402007102966
Change_D,0.051454827189445496
Consensus_T,0.042478691786527634
Change_V,0.041329678148031235
Change_A,0.040975119918584824
Change_Y,0.031194789335131645
Consensus_M,0.022482147440314293
Consensus_Q,0.021696727722883224
Position,0.01973940245807171
Change_K,0.017277788370847702
Central-domain,0.013424797914922237
Handle-domain,0.01330192293971777
SPRY1-first,0.007058267015963793
Change_P,0.006764223333448172
P1,0.0066961972042918205
Consensus_G,0.006018030922859907
SPRY1-second,0.004789148457348347
Consensus_E,0.004255823325365782
P2,0.002496057655662298
SPRY3-second,0.0021567209623754025
Change_R,0.001142261316999793
Change_E,0.0006992417038418353
Change_L,-0.0020393712911754847
Consensus_X,-0.0020503972191363573
Change_W,-0.0027508337516337633
HD2,-0.003867943538352847
Outside,-0.005314796697348356
SPRY3-first,-0.005585437640547752
SPRY2-second,-0.007064320612698793
Change_F,-0.007552220486104488
NTD,-0.00797835923731327
Consensus_R,-0.008607100695371628
HD1,-0.008656991645693779
Channel-domain,-0.009030509740114212
SPRY1-third,-0.009073903784155846
SPRY2-first,-0.013830453157424927
Change_M,-0.014460810460150242
Conservation,-0.022036876529455185
Consensus_Y,-0.0581178180873394
SigNoise,-0.3862782120704651
