,0
Change_W,0.17266570031642914
Change_P,0.16041447222232819
Change_Q,0.16014423966407776
Consensus_F,0.15834344923496246
Consensus_P,0.15421618521213531
Change_E,0.15381376445293427
Consensus_V,0.14972621202468872
Consensus_R,0.14801734685897827
Consensus_D,0.14570334553718567
Change_A,0.14529429376125336
Consensus_N,0.14412833750247955
Consensus_I,0.14096727967262268
Change_K,0.13879765570163727
Change_H,0.13660721480846405
Change_I,0.13625839352607727
Consensus_Y,0.1341816633939743
Consensus_E,0.1262046992778778
Change_L,0.1223447248339653
Change_F,0.12145759165287018
Change_M,0.12049577385187149
Change_R,0.12041854113340378
Consensus_L,0.11801077425479889
Change_T,0.10738849639892578
Change_Y,0.10580522567033768
Consensus_A,0.10524166375398636
Consensus_M,0.10395977646112442
Consensus_K,0.10175514966249466
Consensus_T,0.09853456169366837
Change_G,0.09846837818622589
Change_C,0.09586992859840393
Change_V,0.09013201296329498
Change_N,0.08731580525636673
Consensus_G,0.08672300726175308
Consensus_H,0.08371307700872421
Change_S,0.07207199186086655
Change_X,0.07199681550264359
Consensus_C,0.06820964813232422
Consensus_Q,0.06773292273283005
Change_D,0.06683287024497986
Consensus_S,0.06075385585427284
Domain_NTD,0.01730056293308735
Domain_HD2,0.010700873099267483
Signal_To_Noise,0.010096638463437557
Domain_SPRY3-second,0.009466046467423439
Domain_Handle-domain,0.0075759016908705235
Domain_SPRY1-second,0.006611109245568514
Consensus_W,0.006088722962886095
Conservation,0.0052314274944365025
Domain_HD1,0.0023301392793655396
Domain_P2,0.0006039764848537743
Domain_SPRY2-second,0.00014348352851811796
Domain_SPRY2-first,-0.00013421424955595285
Domain_SPRY1-first,-0.00044837669702246785
Domain_Channel-domain,-0.0011238290462642908
Domain_P1,-0.0012506041675806046
Consensus_X,-0.0013024681247770786
Domain_SPRY1-third,-0.0018362186383455992
Domain_Central-domain,-0.0027762209065258503
Domain_SPRY3-first,-0.0035345726646482944
Position,-0.019573483616113663
