MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[120, 60, 40]",0.0001,0.6,1,epoch_177,0.9124,0.0067,0.8452,0.1692,0.6568,0.3258,137,0.9124,0.7942,0.3059,1.2937
"[30, 20]",0.0001,0.6,3,epoch_334,0.9124,0.0067,0.8295,0.1838,0.6383,0.2967,251,0.9124,0.7877,0.3005,1.4761
"[60, 60]",0.0001,0.6,3,epoch_191,0.9124,0.0067,0.8487,0.1727,0.6746,0.3109,212,0.9124,0.7904,0.3234,1.1775
"[60, 60, 40]",0.0001,0.6,3,epoch_172,0.9124,0.0067,0.8498,0.1684,0.6735,0.3148,233,0.9124,0.7916,0.3194,1.0637
"[120, 60, 20]",0.0001,0.6,3,epoch_198,0.9124,0.0067,0.8429,0.1756,0.6558,0.3182,209,0.9124,0.7919,0.3072,0.9983
"[120, 60, 40]",0.0001,0.6,3,epoch_166,0.9124,0.0067,0.8424,0.1775,0.6585,0.3246,168,0.9124,0.7949,0.3025,1.1343
"[30, 20]",0.001,0,1,epoch_23,0.9124,0.0067,0.8476,0.1626,0.6375,0.3017,30,0.9124,0.7951,0.2974,0.9504
"[60, 60]",0.001,0,1,epoch_16,0.9124,0.0067,0.8661,0.1539,0.6907,0.3117,19,0.9124,0.793,0.3193,1.0408
"[60, 60, 40]",0.001,0,1,epoch_14,0.9124,0.0067,0.8631,0.1573,0.6722,0.328,18,0.9124,0.7916,0.315,1.3074
"[120, 60, 20]",0.001,0,1,epoch_19,0.9124,0.0067,0.8661,0.147,0.6743,0.3079,21,0.9124,0.7981,0.3263,0.9833
"[120, 60, 40]",0.001,0,1,epoch_18,0.9124,0.0067,0.8645,0.1502,0.6756,0.3109,20,0.9124,0.795,0.3185,0.9424
"[30, 20]",0.001,0,3,epoch_21,0.9124,0.0067,0.8492,0.1665,0.657,0.3112,33,0.9124,0.7955,0.3039,0.8991
"[60, 60]",0.001,0,3,epoch_17,0.9124,0.0067,0.8622,0.1529,0.676,0.3078,20,0.9124,0.7981,0.3127,1.11
"[60, 60, 40]",0.001,0,3,epoch_18,0.9124,0.0067,0.861,0.1516,0.6662,0.309,19,0.9124,0.8001,0.3254,1.3025
"[120, 60, 20]",0.001,0,3,epoch_21,0.9124,0.0067,0.8563,0.1543,0.6555,0.3054,19,0.9124,0.802,0.314,1.2236
"[120, 60, 40]",0.001,0,3,epoch_17,0.9124,0.0067,0.8543,0.1591,0.6559,0.3134,20,0.9124,0.7982,0.3132,0.9716
"[30, 20]",0.001,0.2,1,epoch_25,0.9124,0.0067,0.8416,0.1749,0.6534,0.2989,25,0.9124,0.7927,0.3104,1.1616
"[60, 60]",0.001,0.2,1,epoch_18,0.9124,0.0067,0.8575,0.1603,0.679,0.303,16,0.9124,0.7941,0.3098,1.1351
"[60, 60, 40]",0.001,0.2,1,epoch_16,0.9124,0.0067,0.857,0.1603,0.6679,0.3043,19,0.9124,0.7921,0.3111,1.0818
"[120, 60, 20]",0.001,0.2,1,epoch_18,0.9124,0.0067,0.8612,0.1537,0.6736,0.318,22,0.9124,0.798,0.3304,0.8949
"[120, 60, 40]",0.001,0.2,1,epoch_17,0.9124,0.0067,0.863,0.1497,0.6784,0.3074,17,0.9124,0.7974,0.3175,1.0379
"[30, 20]",0.001,0.2,3,epoch_27,0.9124,0.0067,0.8488,0.1662,0.6622,0.3091,27,0.9124,0.7986,0.3027,1.0471
"[60, 60]",0.001,0.2,3,epoch_16,0.9124,0.0067,0.8567,0.1586,0.6621,0.3201,22,0.9124,0.7973,0.3165,0.964
"[60, 60, 40]",0.001,0.2,3,epoch_15,0.9124,0.0067,0.856,0.1597,0.6675,0.3182,19,0.9124,0.8009,0.3259,1.1358
"[120, 60, 20]",0.001,0.2,3,epoch_18,0.9124,0.0067,0.85,0.1653,0.6537,0.3167,22,0.9124,0.7998,0.3138,0.9421
"[120, 60, 40]",0.001,0.2,3,epoch_16,0.9124,0.0067,0.8517,0.1638,0.6554,0.313,17,0.9124,0.8011,0.3153,1.0735
"[30, 20]",0.001,0.4,1,epoch_33,0.9124,0.0067,0.8333,0.1702,0.6232,0.2815,33,0.9124,0.7832,0.2925,0.9225
"[60, 60]",0.001,0.4,1,epoch_19,0.9124,0.0067,0.853,0.1618,0.657,0.2956,19,0.9124,0.7863,0.3109,0.9755
"[60, 60, 40]",0.001,0.4,1,epoch_17,0.9124,0.0067,0.8569,0.1553,0.653,0.2908,16,0.9124,0.7793,0.3081,1.2055
"[120, 60, 20]",0.001,0.4,1,epoch_17,0.9124,0.0067,0.8603,0.1536,0.6739,0.3079,19,0.9124,0.7956,0.3151,1.0112
"[120, 60, 40]",0.001,0.4,1,epoch_16,0.9124,0.0067,0.8594,0.1547,0.6652,0.3202,18,0.9124,0.7961,0.3076,0.9473
"[30, 20]",0.001,0.4,3,epoch_31,0.9124,0.0067,0.8411,0.1687,0.641,0.3025,33,0.9124,0.794,0.2995,0.9559
"[60, 60]",0.001,0.4,3,epoch_17,0.9124,0.0067,0.8517,0.1656,0.6672,0.3209,20,0.9124,0.7982,0.3207,1.0235
"[60, 60, 40]",0.001,0.4,3,epoch_16,0.9124,0.0067,0.8522,0.1627,0.666,0.3133,19,0.9124,0.8018,0.3296,1.1101
"[120, 60, 20]",0.001,0.4,3,epoch_21,0.9124,0.0067,0.8485,0.1655,0.654,0.3128,22,0.9124,0.8003,0.3212,0.9117
"[120, 60, 40]",0.001,0.4,3,epoch_17,0.9124,0.0067,0.8464,0.1693,0.6503,0.3136,17,0.9124,0.8011,0.3059,1.0115
"[30, 20]",0.001,0.6,1,epoch_43,0.9124,0.0067,0.8296,0.1686,0.614,0.285,32,0.9124,0.779,0.2822,1.1771
"[60, 60]",0.001,0.6,1,epoch_24,0.9124,0.0067,0.8402,0.1705,0.6307,0.2919,34,0.9124,0.7766,0.3106,0.813
"[60, 60, 40]",0.001,0.6,1,epoch_20,0.9124,0.0067,0.844,0.169,0.6348,0.294,15,0.9124,0.7943,0.3164,1.8635
"[120, 60, 20]",0.001,0.6,1,epoch_23,0.9124,0.0067,0.8459,0.1668,0.6497,0.3142,29,0.9124,0.7847,0.3112,0.8305
"[120, 60, 40]",0.001,0.6,1,epoch_19,0.9124,0.0067,0.8462,0.1657,0.6435,0.3297,15,0.9124,0.7993,0.3233,1.4017
"[30, 20]",0.001,0.6,3,epoch_33,0.9124,0.0067,0.8308,0.1828,0.6376,0.3063,33,0.9124,0.7914,0.2967,1.156
"[60, 60]",0.001,0.6,3,epoch_18,0.9124,0.0067,0.8432,0.177,0.6576,0.3173,23,0.9124,0.7912,0.319,1.084
"[60, 60, 40]",0.001,0.6,3,epoch_19,0.9124,0.0067,0.85,0.1693,0.6717,0.323,24,0.9124,0.7919,0.3179,1.0941
"[120, 60, 20]",0.001,0.6,3,epoch_23,0.9124,0.0067,0.8442,0.1723,0.6539,0.3207,24,0.9124,0.7951,0.3103,0.9824
"[120, 60, 40]",0.001,0.6,3,epoch_19,0.9124,0.0067,0.8428,0.1748,0.6485,0.3224,15,0.9124,0.8015,0.2931,1.4133
"[30, 20]",0.01,0,1,epoch_4,0.9124,0.0067,0.8557,0.1535,0.6359,0.3046,5,0.9124,0.8001,0.308,1.0214
"[60, 60]",0.01,0,1,epoch_2,0.9124,0.0067,0.8633,0.1503,0.6666,0.3066,3,0.9124,0.8137,0.3256,1.0643
"[60, 60, 40]",0.01,0,1,epoch_2,0.9124,0.0067,0.8658,0.1436,0.6648,0.2927,3,0.9124,0.816,0.3586,1.2343
"[120, 60, 20]",0.01,0,1,epoch_2,0.9124,0.0067,0.8688,0.145,0.6792,0.3013,3,0.9124,0.8246,0.3491,1.1382
"[120, 60, 40]",0.01,0,1,epoch_2,0.9124,0.0067,0.8667,0.1404,0.6569,0.2923,2,0.9124,0.8188,0.3494,1.5321
"[30, 20]",0.01,0,3,epoch_5,0.9124,0.0067,0.8527,0.156,0.652,0.2945,5,0.9124,0.7966,0.3087,1.1229
"[60, 60]",0.01,0,3,epoch_2,0.9124,0.0067,0.8614,0.1489,0.6582,0.2889,2,0.9124,0.8027,0.3295,1.6524
"[60, 60, 40]",0.01,0,3,epoch_2,0.9124,0.0067,0.865,0.1444,0.6528,0.2928,3,0.9124,0.8038,0.335,1.2144
"[120, 60, 20]",0.01,0,3,epoch_2,0.9124,0.0067,0.8556,0.1532,0.6457,0.2911,3,0.9124,0.8078,0.3334,1.1903
"[120, 60, 40]",0.01,0,3,epoch_2,0.9124,0.0067,0.8597,0.1492,0.6487,0.292,3,0.9124,0.8039,0.3252,0.8219
"[30, 20]",0.01,0.2,1,epoch_4,0.9124,0.0067,0.8533,0.1535,0.6448,0.2953,6,0.9124,0.8097,0.3276,0.9471
"[60, 60]",0.01,0.2,1,epoch_2,0.9124,0.0067,0.8568,0.1551,0.6577,0.3049,3,0.9124,0.8171,0.3385,1.0417
"[60, 60, 40]",0.01,0.2,1,epoch_1,0.9124,0.0067,0.8525,0.1666,0.6317,0.3244,3,0.9124,0.8123,0.33,1.0308
"[120, 60, 20]",0.01,0.2,1,epoch_2,0.9124,0.0067,0.8621,0.1499,0.6689,0.3096,3,0.9124,0.825,0.3539,1.048
"[120, 60, 40]",0.01,0.2,1,epoch_2,0.9124,0.0067,0.858,0.1492,0.6405,0.3062,2,0.9124,0.8319,0.3454,1.6194
"[30, 20]",0.01,0.2,3,epoch_5,0.9124,0.0067,0.8486,0.1591,0.6445,0.2924,6,0.9124,0.8052,0.3207,0.9619
"[60, 60]",0.01,0.2,3,epoch_2,0.9124,0.0067,0.8559,0.1555,0.6529,0.3022,3,0.9124,0.8112,0.3311,1.1223
"[60, 60, 40]",0.01,0.2,3,epoch_2,0.9124,0.0067,0.8574,0.1513,0.6419,0.3044,3,0.9124,0.8082,0.335,1.0555
"[120, 60, 20]",0.01,0.2,3,epoch_3,0.9124,0.0067,0.8505,0.152,0.6429,0.2839,3,0.9124,0.812,0.347,1.1196
"[120, 60, 40]",0.01,0.2,3,epoch_2,0.9124,0.0067,0.8506,0.1592,0.6545,0.2935,2,0.9124,0.8044,0.3348,1.3706
"[30, 20]",0.01,0.4,1,epoch_5,0.9124,0.0067,0.8414,0.1625,0.6584,0.2851,8,0.9124,0.7994,0.33,0.7283
"[60, 60]",0.01,0.4,1,epoch_1,0.9124,0.0067,0.8364,0.1945,0.6208,0.31,2,0.9124,0.8194,0.3263,1.3951
"[60, 60, 40]",0.01,0.4,1,epoch_2,0.9124,0.0067,0.8408,0.1682,0.6096,0.2787,2,0.9124,0.8267,0.3606,1.691
"[120, 60, 20]",0.01,0.4,1,epoch_2,0.9124,0.0067,0.8424,0.1674,0.6421,0.2927,2,0.9124,0.8315,0.3589,1.7138
"[120, 60, 40]",0.01,0.4,1,epoch_2,0.9124,0.0067,0.8398,0.1699,0.6104,0.3037,2,0.9124,0.8344,0.3445,1.3423
"[30, 20]",0.01,0.4,3,epoch_4,0.9124,0.0067,0.8366,0.1707,0.6248,0.2854,4,0.9124,0.8043,0.3146,1.1815
"[60, 60]",0.01,0.4,3,epoch_2,0.9124,0.0067,0.8482,0.1659,0.65,0.3097,2,0.9124,0.8041,0.3327,1.4273
"[60, 60, 40]",0.01,0.4,3,epoch_2,0.9124,0.0067,0.8489,0.1645,0.6466,0.3081,2,0.9124,0.8059,0.3429,1.6409
"[120, 60, 20]",0.01,0.4,3,epoch_2,0.9124,0.0067,0.8285,0.1863,0.6283,0.2984,3,0.9124,0.8131,0.3552,1.0252
"[120, 60, 40]",0.01,0.4,3,epoch_2,0.9124,0.0067,0.8429,0.1698,0.6418,0.2955,2,0.9124,0.8076,0.338,1.2616
"[30, 20]",0.01,0.6,1,epoch_8,0.9124,0.0067,0.8254,0.1614,0.6082,0.2925,14,0.9124,0.7789,0.2957,0.6099
