MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
[40],0.0001,0.8,0,481,0.6689,0.6533,0.5694
"[40, 40]",0.0001,0.8,0,691,0.6706,0.6541,0.5711
"[60, 40]",0.0001,0.8,0,532,0.6738,0.6545,0.5746
"[120, 60, 40]",0.0001,0.8,0,831,0.6603,0.6403,0.5651
[20],0.0001,0.9,0,988,0.6658,0.6429,0.5693
"[30, 20]",0.0001,0.9,0,275,0.5889,0.5979,0.5147
"[60, 20]",0.0001,0.9,0,324,0.6278,0.6192,0.5349
"[60, 60, 20]",0.0001,0.9,0,303,0.5683,0.5586,0.4943
"[120, 60, 20]",0.0001,0.9,0,303,0.578,0.5805,0.5112
[40],0.0001,0.9,0,631,0.686,0.6717,0.5896
"[40, 40]",0.0001,0.9,0,200,0.5922,0.606,0.5178
"[60, 40]",0.0001,0.9,0,269,0.6584,0.6387,0.5592
"[120, 60, 40]",0.0001,0.9,0,303,0.551,0.5258,0.4703
[20],0.001,0.0,0,140,0.676,0.6585,0.5744
"[30, 20]",0.001,0.0,0,88,0.6743,0.6643,0.5774
"[60, 20]",0.001,0.0,0,93,0.6588,0.6467,0.5601
"[60, 60, 20]",0.001,0.0,0,135,0.6604,0.6389,0.5578
"[120, 60, 20]",0.001,0.0,0,80,0.6687,0.6428,0.5688
[40],0.001,0.0,0,133,0.6569,0.6364,0.5583
"[40, 40]",0.001,0.0,0,135,0.6672,0.6462,0.5672
"[60, 40]",0.001,0.0,0,44,0.6522,0.6388,0.5654
"[120, 60, 40]",0.001,0.0,0,88,0.6723,0.6518,0.5734
[20],0.001,0.1,0,494,0.6502,0.6382,0.5497
"[30, 20]",0.001,0.1,0,301,0.6637,0.6475,0.5607
"[60, 20]",0.001,0.1,0,97,0.6567,0.6373,0.5575
"[60, 60, 20]",0.001,0.1,0,127,0.6739,0.6525,0.5726
"[120, 60, 20]",0.001,0.1,0,71,0.6878,0.6693,0.5864
[40],0.001,0.1,0,98,0.6519,0.6434,0.5519
"[40, 40]",0.001,0.1,0,56,0.6621,0.6468,0.5685
"[60, 40]",0.001,0.1,0,143,0.6706,0.6517,0.5712
"[120, 60, 40]",0.001,0.1,0,112,0.6654,0.6484,0.5649
[20],0.001,0.2,0,91,0.6524,0.6515,0.5599
"[30, 20]",0.001,0.2,0,228,0.6743,0.6518,0.5766
"[60, 20]",0.001,0.2,0,152,0.6619,0.6406,0.5672
"[60, 60, 20]",0.001,0.2,0,61,0.6689,0.6542,0.5689
"[120, 60, 20]",0.001,0.2,0,113,0.6775,0.6558,0.58
[40],0.001,0.2,0,425,0.657,0.6444,0.5569
"[40, 40]",0.001,0.2,0,151,0.6705,0.6501,0.5708
"[60, 40]",0.001,0.2,0,109,0.6568,0.6319,0.5618
"[120, 60, 40]",0.001,0.2,0,105,0.6654,0.6466,0.5646
[20],0.001,0.3,0,229,0.6722,0.6539,0.5707
"[30, 20]",0.001,0.3,0,259,0.6672,0.6461,0.5665
"[60, 20]",0.001,0.3,0,139,0.6774,0.653,0.5825
"[60, 60, 20]",0.001,0.3,0,165,0.6721,0.6527,0.5728
"[120, 60, 20]",0.001,0.3,0,133,0.6721,0.6527,0.5711
[40],0.001,0.3,0,444,0.6639,0.6516,0.5633
"[40, 40]",0.001,0.3,0,180,0.6639,0.6434,0.5617
"[60, 40]",0.001,0.3,0,145,0.6724,0.6547,0.5718
"[120, 60, 40]",0.001,0.3,0,116,0.6723,0.6539,0.5729
[20],0.001,0.4,0,395,0.65,0.6337,0.5533
"[30, 20]",0.001,0.4,0,296,0.6671,0.6481,0.57
"[60, 20]",0.001,0.4,0,117,0.6655,0.6433,0.5696
"[60, 60, 20]",0.001,0.4,0,203,0.6756,0.659,0.5775
"[120, 60, 20]",0.001,0.4,0,147,0.6757,0.6574,0.5749
[40],0.001,0.4,0,161,0.6687,0.6552,0.5694
"[40, 40]",0.001,0.4,0,187,0.6755,0.6533,0.5775
"[60, 40]",0.001,0.4,0,138,0.6674,0.6376,0.5782
"[120, 60, 40]",0.001,0.4,0,120,0.6672,0.6476,0.5698
[20],0.001,0.5,0,353,0.6587,0.6408,0.5567
"[30, 20]",0.001,0.5,0,345,0.6639,0.6481,0.5649
"[60, 20]",0.001,0.5,0,231,0.667,0.6495,0.5718
"[60, 60, 20]",0.001,0.5,0,212,0.669,0.6474,0.57
"[120, 60, 20]",0.001,0.5,0,198,0.6724,0.6547,0.5716
[40],0.001,0.5,0,277,0.6622,0.6463,0.5615
"[40, 40]",0.001,0.5,0,209,0.6826,0.6615,0.5836
"[60, 40]",0.001,0.5,0,257,0.6725,0.6602,0.5742
"[120, 60, 40]",0.001,0.5,0,151,0.6775,0.6555,0.5764
[20],0.001,0.6,0,259,0.6757,0.6572,0.5773
"[30, 20]",0.001,0.6,0,386,0.6708,0.6537,0.5712
"[60, 20]",0.001,0.6,0,264,0.6687,0.6486,0.5704
"[60, 60, 20]",0.001,0.6,0,319,0.6724,0.6572,0.573
"[120, 60, 20]",0.001,0.6,0,254,0.686,0.6695,0.5859
[40],0.001,0.6,0,192,0.6675,0.6552,0.5689
"[40, 40]",0.001,0.6,0,302,0.6709,0.6547,0.5708
"[60, 40]",0.001,0.6,0,281,0.6773,0.6613,0.5804
"[120, 60, 40]",0.001,0.6,0,208,0.6827,0.6641,0.583
[20],0.001,0.7,0,441,0.6674,0.6541,0.5649
"[30, 20]",0.001,0.7,0,543,0.6657,0.6523,0.569
"[60, 20]",0.001,0.7,0,459,0.6827,0.668,0.5804
"[60, 60, 20]",0.001,0.7,0,469,0.669,0.6523,0.5675
"[120, 60, 20]",0.001,0.7,0,370,0.6791,0.6598,0.5816
[40],0.001,0.7,0,193,0.6638,0.6537,0.5636
"[40, 40]",0.001,0.7,0,325,0.6706,0.6467,0.5746
"[60, 40]",0.001,0.7,0,314,0.6843,0.6677,0.5837
"[120, 60, 40]",0.001,0.7,0,353,0.6828,0.6692,0.5837
[20],0.001,0.8,0,647,0.6705,0.6537,0.5709
"[30, 20]",0.001,0.8,0,994,0.6689,0.6515,0.569
"[60, 20]",0.001,0.8,0,629,0.6791,0.6566,0.5822
"[60, 60, 20]",0.001,0.8,0,147,0.6102,0.6036,0.5245
"[120, 60, 20]",0.001,0.8,0,897,0.6671,0.6448,0.5673
[40],0.001,0.8,0,407,0.679,0.6646,0.5795
"[40, 40]",0.001,0.8,0,120,0.6553,0.6411,0.5586
