,0
Consensus_I,0.13877572119235992
Change_Y,0.13142946362495422
Consensus_L,0.1287853717803955
Change_N,0.12877239286899567
Consensus_D,0.12679803371429443
Consensus_M,0.12447372823953629
Consensus_T,0.12386030703783035
Change_A,0.1233753189444542
Change_V,0.11988138407468796
Change_H,0.11418565362691879
Consensus_S,0.11334323137998581
Consensus_K,0.1132490262389183
Change_D,0.1118616908788681
Consensus_E,0.1116923987865448
Change_I,0.11045388132333755
Consensus_G,0.10919073224067688
Change_E,0.10892356932163239
Change_G,0.1086135283112526
Change_R,0.10852193832397461
Change_S,0.10756930708885193
Change_T,0.10659094154834747
Consensus_N,0.10517861694097519
Consensus_P,0.10033293068408966
Consensus_V,0.09993652999401093
Consensus_H,0.09725575149059296
Consensus_W,0.09656384587287903
Change_L,0.09643124043941498
Consensus_R,0.09262514114379883
Change_M,0.09198497235774994
Change_C,0.09185253828763962
Consensus_A,0.0913756862282753
Consensus_Y,0.08990556746721268
Change_K,0.0873723179101944
Consensus_Q,0.08578340709209442
Change_W,0.08117970079183578
Change_Q,0.07904660701751709
Consensus_C,0.07651865482330322
Change_P,0.06883048266172409
Change_F,0.0664350837469101
Consensus_F,0.05182952806353569
Domain_SPRY2-first,0.017871728166937828
Domain_SPRY1-second,0.014152844436466694
Domain_NTD,0.012015237472951412
Domain_HD2,0.00875717494636774
Domain_P2,0.00599271897226572
Domain_SPRY2-second,0.005228934809565544
Domain_SPRY1-third,0.004648816306143999
Domain_SPRY3-first,0.0032063471153378487
Domain_P1,0.003026599297299981
Domain_HD1,0.0012636072933673859
Domain_Handle-domain,-0.0003693085163831711
Domain_Channel-domain,-0.001703049405477941
Domain_SPRY3-second,-0.0018062276067212224
Domain_Outside,-0.007914653979241848
Domain_SPRY1-first,-0.008598157204687595
Domain_Central-domain,-0.008678550831973553
Position,-0.061412449926137924
Conservation,-0.06859435141086578
