MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[120, 60, 20]",0.0001,0.8,0,968,0.7312,0.769,0.6987
[40],0.0001,0.8,0,963,0.7533,0.788,0.7333
"[40, 40]",0.0001,0.8,0,973,0.7312,0.7778,0.7117
"[60, 40]",0.0001,0.8,0,967,0.739,0.7787,0.7171
"[120, 60, 40]",0.0001,0.8,0,997,0.7324,0.7699,0.6952
[20],0.0001,0.9,0,994,0.6701,0.7662,0.7015
"[30, 20]",0.0001,0.9,0,999,0.6221,0.7297,0.634
"[60, 20]",0.0001,0.9,0,1000,0.6221,0.7407,0.6494
"[60, 60, 20]",0.0001,0.9,0,715,0.6221,0.7338,0.6613
"[120, 60, 20]",0.0001,0.9,0,998,0.6221,0.7014,0.5897
[40],0.0001,0.9,0,971,0.7207,0.7726,0.7073
"[40, 40]",0.0001,0.9,0,783,0.6221,0.7534,0.6764
"[60, 40]",0.0001,0.9,0,990,0.6247,0.7449,0.6532
"[120, 60, 40]",0.0001,0.9,0,987,0.6221,0.7102,0.6201
[20],0.001,0.0,0,998,0.7403,0.7842,0.7183
"[30, 20]",0.001,0.0,0,936,0.7623,0.8002,0.7471
"[60, 20]",0.001,0.0,0,982,0.7598,0.8025,0.7488
"[60, 60, 20]",0.001,0.0,0,661,0.7571,0.8011,0.7569
"[120, 60, 20]",0.001,0.0,0,476,0.7624,0.8032,0.7564
[40],0.001,0.0,0,996,0.7637,0.7906,0.7329
"[40, 40]",0.001,0.0,0,797,0.7611,0.8015,0.7497
"[60, 40]",0.001,0.0,0,950,0.7598,0.8011,0.7514
"[120, 60, 40]",0.001,0.0,0,389,0.7676,0.8034,0.7545
[20],0.001,0.1,0,980,0.7403,0.7819,0.7148
"[30, 20]",0.001,0.1,0,987,0.7572,0.8001,0.7453
"[60, 20]",0.001,0.1,0,997,0.7611,0.7999,0.7506
"[60, 60, 20]",0.001,0.1,0,785,0.7714,0.8037,0.7545
"[120, 60, 20]",0.001,0.1,0,582,0.7701,0.8029,0.7554
[40],0.001,0.1,0,997,0.7559,0.7936,0.7341
"[40, 40]",0.001,0.1,0,1000,0.7663,0.8047,0.7564
"[60, 40]",0.001,0.1,0,938,0.7624,0.804,0.7573
"[120, 60, 40]",0.001,0.1,0,510,0.761,0.8033,0.7574
[20],0.001,0.2,0,999,0.7442,0.7847,0.7224
"[30, 20]",0.001,0.2,0,1000,0.7611,0.7979,0.7451
"[60, 20]",0.001,0.2,0,996,0.7637,0.8004,0.7514
"[60, 60, 20]",0.001,0.2,0,889,0.761,0.8023,0.7554
"[120, 60, 20]",0.001,0.2,0,666,0.7663,0.8026,0.7575
[40],0.001,0.2,0,1000,0.7585,0.7924,0.7355
"[40, 40]",0.001,0.2,0,945,0.7663,0.8046,0.7528
"[60, 40]",0.001,0.2,0,973,0.7662,0.8025,0.7545
"[120, 60, 40]",0.001,0.2,0,465,0.7637,0.8043,0.7552
[20],0.001,0.3,0,993,0.7481,0.786,0.7261
"[30, 20]",0.001,0.3,0,993,0.7585,0.7985,0.7468
"[60, 20]",0.001,0.3,0,996,0.7702,0.8012,0.749
"[60, 60, 20]",0.001,0.3,0,675,0.7585,0.8054,0.7532
"[120, 60, 20]",0.001,0.3,0,883,0.7689,0.8044,0.758
[40],0.001,0.3,0,999,0.7572,0.7906,0.7337
"[40, 40]",0.001,0.3,0,984,0.7689,0.8037,0.7522
"[60, 40]",0.001,0.3,0,1000,0.7676,0.8038,0.7541
"[120, 60, 40]",0.001,0.3,0,614,0.7649,0.8044,0.7533
[20],0.001,0.4,0,1000,0.7519,0.7873,0.726
"[30, 20]",0.001,0.4,0,987,0.7637,0.798,0.7458
"[60, 20]",0.001,0.4,0,992,0.7611,0.8023,0.749
"[60, 60, 20]",0.001,0.4,0,917,0.7662,0.8061,0.7575
"[120, 60, 20]",0.001,0.4,0,776,0.7728,0.8033,0.7582
[40],0.001,0.4,0,977,0.7597,0.7936,0.7396
"[40, 40]",0.001,0.4,0,999,0.7702,0.8027,0.7527
"[60, 40]",0.001,0.4,0,996,0.7702,0.8016,0.7507
"[120, 60, 40]",0.001,0.4,0,649,0.7715,0.8066,0.7564
[20],0.001,0.5,0,996,0.7442,0.7872,0.7288
"[30, 20]",0.001,0.5,0,998,0.7624,0.7957,0.7422
"[60, 20]",0.001,0.5,0,993,0.765,0.7999,0.7483
"[60, 60, 20]",0.001,0.5,0,966,0.7649,0.8035,0.7517
"[120, 60, 20]",0.001,0.5,0,937,0.7715,0.8078,0.7604
[40],0.001,0.5,0,1000,0.761,0.7919,0.7366
"[40, 40]",0.001,0.5,0,923,0.7649,0.7985,0.7468
"[60, 40]",0.001,0.5,0,988,0.7663,0.8047,0.7525
"[120, 60, 40]",0.001,0.5,0,984,0.7676,0.8046,0.7556
[20],0.001,0.6,0,999,0.7467,0.789,0.731
"[30, 20]",0.001,0.6,0,990,0.7585,0.793,0.7385
"[60, 20]",0.001,0.6,0,973,0.7623,0.7963,0.7441
"[60, 60, 20]",0.001,0.6,0,992,0.7689,0.8029,0.7527
"[120, 60, 20]",0.001,0.6,0,991,0.7689,0.8057,0.7535
[40],0.001,0.6,0,988,0.7598,0.7903,0.7336
"[40, 40]",0.001,0.6,0,990,0.7676,0.7984,0.7465
"[60, 40]",0.001,0.6,0,1000,0.7689,0.7982,0.7442
"[120, 60, 40]",0.001,0.6,0,972,0.765,0.8052,0.755
[20],0.001,0.7,0,971,0.7377,0.7864,0.727
"[30, 20]",0.001,0.7,0,987,0.752,0.7873,0.7283
"[60, 20]",0.001,0.7,0,998,0.7598,0.794,0.7387
"[60, 60, 20]",0.001,0.7,0,997,0.7623,0.7925,0.7382
"[120, 60, 20]",0.001,0.7,0,1000,0.7676,0.7987,0.7464
[40],0.001,0.7,0,995,0.7598,0.7913,0.7329
"[40, 40]",0.001,0.7,0,996,0.765,0.7875,0.734
"[60, 40]",0.001,0.7,0,998,0.7572,0.7917,0.7369
"[120, 60, 40]",0.001,0.7,0,998,0.7728,0.7969,0.7426
[20],0.001,0.8,0,997,0.7234,0.7812,0.72
"[30, 20]",0.001,0.8,0,999,0.7,0.7718,0.6978
"[60, 20]",0.001,0.8,0,982,0.7415,0.777,0.7134
"[60, 60, 20]",0.001,0.8,0,998,0.7142,0.7686,0.6918
"[120, 60, 20]",0.001,0.8,0,1000,0.7285,0.7694,0.6991
[40],0.001,0.8,0,1000,0.7481,0.7872,0.73
"[40, 40]",0.001,0.8,0,998,0.7364,0.7734,0.7123
"[60, 40]",0.001,0.8,0,985,0.7442,0.7804,0.7143
"[120, 60, 40]",0.001,0.8,0,1000,0.7325,0.7766,0.7054
[20],0.001,0.9,0,945,0.6649,0.7735,0.7126
"[30, 20]",0.001,0.9,0,996,0.6221,0.7263,0.6359
"[60, 20]",0.001,0.9,0,986,0.6221,0.7363,0.6411
"[60, 60, 20]",0.001,0.9,0,994,0.6221,0.6931,0.5812
"[120, 60, 20]",0.001,0.9,0,937,0.6221,0.7175,0.6189
[40],0.001,0.9,0,990,0.7233,0.7729,0.707
"[40, 40]",0.001,0.9,0,997,0.6221,0.7456,0.6452
"[60, 40]",0.001,0.9,0,985,0.6234,0.7519,0.6749
"[120, 60, 40]",0.001,0.9,0,1000,0.6221,0.7134,0.6394
[20],0.01,0.0,0,999,0.739,0.7843,0.721
"[30, 20]",0.01,0.0,0,999,0.7624,0.7986,0.7473
"[60, 20]",0.01,0.0,0,851,0.7585,0.8026,0.7521
"[60, 60, 20]",0.01,0.0,0,757,0.7546,0.804,0.7585
"[120, 60, 20]",0.01,0.0,0,641,0.765,0.7988,0.7558
[40],0.01,0.0,0,988,0.7533,0.789,0.733
"[40, 40]",0.01,0.0,0,934,0.7637,0.8015,0.7505
"[60, 40]",0.01,0.0,0,1000,0.7649,0.8035,0.7566
"[120, 60, 40]",0.01,0.0,0,425,0.7702,0.8015,0.756
[20],0.01,0.1,0,998,0.7481,0.7839,0.7218
"[30, 20]",0.01,0.1,0,978,0.7598,0.8022,0.749
"[60, 20]",0.01,0.1,0,967,0.765,0.803,0.75
"[60, 60, 20]",0.01,0.1,0,818,0.7675,0.8047,0.7644
"[120, 60, 20]",0.01,0.1,0,578,0.7741,0.8034,0.757
[40],0.01,0.1,0,990,0.7598,0.791,0.7331
"[40, 40]",0.01,0.1,0,994,0.7637,0.8062,0.7545
"[60, 40]",0.01,0.1,0,967,0.7676,0.8071,0.761
"[120, 60, 40]",0.01,0.1,0,506,0.7675,0.8058,0.7577
[20],0.01,0.2,0,996,0.739,0.7843,0.7216
"[30, 20]",0.01,0.2,0,1000,0.7689,0.801,0.748
"[60, 20]",0.01,0.2,0,1000,0.7663,0.8051,0.7513
"[60, 60, 20]",0.01,0.2,0,808,0.7637,0.804,0.7555
"[120, 60, 20]",0.01,0.2,0,610,0.7598,0.8018,0.7554
[40],0.01,0.2,0,922,0.7546,0.7916,0.735
"[40, 40]",0.01,0.2,0,1000,0.7728,0.8039,0.7545
"[60, 40]",0.01,0.2,0,986,0.7728,0.8063,0.7591
"[120, 60, 40]",0.01,0.2,0,480,0.7689,0.8041,0.757
[20],0.01,0.3,0,1000,0.7468,0.7878,0.7266
"[30, 20]",0.01,0.3,0,998,0.7624,0.7997,0.7465
"[60, 20]",0.01,0.3,0,974,0.765,0.8022,0.7503
"[60, 60, 20]",0.01,0.3,0,898,0.7688,0.8004,0.7534
"[120, 60, 20]",0.01,0.3,0,699,0.765,0.8057,0.7572
[40],0.01,0.3,0,999,0.7546,0.793,0.7362
"[40, 40]",0.01,0.3,0,997,0.7715,0.8029,0.752
"[60, 40]",0.01,0.3,0,991,0.7728,0.8039,0.7601
"[120, 60, 40]",0.01,0.3,0,594,0.765,0.8038,0.7563
[20],0.01,0.4,0,1000,0.7455,0.7884,0.7268
"[30, 20]",0.01,0.4,0,961,0.7676,0.7994,0.746
"[60, 20]",0.01,0.4,0,999,0.7637,0.7976,0.7438
"[60, 60, 20]",0.01,0.4,0,895,0.7649,0.8042,0.7532
"[120, 60, 20]",0.01,0.4,0,965,0.7714,0.8024,0.7557
[40],0.01,0.4,0,994,0.7624,0.7927,0.7375
"[40, 40]",0.01,0.4,0,999,0.765,0.801,0.7495
"[60, 40]",0.01,0.4,0,916,0.7689,0.8035,0.7543
"[120, 60, 40]",0.01,0.4,0,765,0.7675,0.8064,0.7568
[20],0.01,0.5,0,997,0.7455,0.7866,0.7251
"[30, 20]",0.01,0.5,0,988,0.7675,0.7937,0.7406
"[60, 20]",0.01,0.5,0,949,0.7624,0.8016,0.75
"[60, 60, 20]",0.01,0.5,0,997,0.7727,0.8027,0.7532
"[120, 60, 20]",0.01,0.5,0,948,0.7623,0.8035,0.7561
[40],0.01,0.5,0,1000,0.7623,0.7922,0.738
"[40, 40]",0.01,0.5,0,907,0.7663,0.798,0.7466
"[60, 40]",0.01,0.5,0,937,0.774,0.8021,0.7525
"[120, 60, 40]",0.01,0.5,0,989,0.7624,0.8074,0.7605
[20],0.01,0.6,0,1000,0.7507,0.7851,0.7232
"[30, 20]",0.01,0.6,0,894,0.7546,0.7903,0.7338
"[60, 20]",0.01,0.6,0,995,0.7636,0.7968,0.7445
"[60, 60, 20]",0.01,0.6,0,957,0.7675,0.8016,0.7511
"[120, 60, 20]",0.01,0.6,0,974,0.7689,0.807,0.7564
[40],0.01,0.6,0,958,0.7663,0.7924,0.736
"[40, 40]",0.01,0.6,0,1000,0.7689,0.7986,0.7461
"[60, 40]",0.01,0.6,0,986,0.7767,0.8009,0.7496
"[120, 60, 40]",0.01,0.6,0,955,0.7702,0.8038,0.7519
[20],0.01,0.7,0,999,0.7428,0.7861,0.7271
"[30, 20]",0.01,0.7,0,987,0.7559,0.7882,0.7257
"[60, 20]",0.01,0.7,0,997,0.7533,0.7896,0.7315
"[60, 60, 20]",0.01,0.7,0,1000,0.7598,0.7959,0.7396
"[120, 60, 20]",0.01,0.7,0,983,0.7663,0.797,0.7441
[40],0.01,0.7,0,1000,0.7455,0.7901,0.7338
"[40, 40]",0.01,0.7,0,981,0.7572,0.7928,0.7399
"[60, 40]",0.01,0.7,0,994,0.7598,0.7958,0.7432
"[120, 60, 40]",0.01,0.7,0,978,0.7675,0.8008,0.7491
[20],0.01,0.8,0,999,0.7338,0.7813,0.7189
"[30, 20]",0.01,0.8,0,998,0.7169,0.7707,0.6968
"[60, 20]",0.01,0.8,0,981,0.7299,0.7758,0.7107
"[60, 60, 20]",0.01,0.8,0,987,0.7014,0.7652,0.6902
"[120, 60, 20]",0.01,0.8,0,1000,0.7273,0.7719,0.7029
[40],0.01,0.8,0,988,0.7377,0.7872,0.727
"[40, 40]",0.01,0.8,0,996,0.7312,0.7783,0.7148
"[60, 40]",0.01,0.8,0,999,0.7416,0.7812,0.72
"[120, 60, 40]",0.01,0.8,0,984,0.7415,0.7778,0.7079
[20],0.01,0.9,0,975,0.661,0.7714,0.7017
"[30, 20]",0.01,0.9,0,970,0.6221,0.7326,0.6123
"[60, 20]",0.01,0.9,0,976,0.6221,0.7465,0.6691
"[60, 60, 20]",0.01,0.9,0,998,0.6221,0.6992,0.5915
"[120, 60, 20]",0.01,0.9,0,1000,0.6221,0.6891,0.5927
[40],0.01,0.9,0,978,0.713,0.77,0.7058
"[40, 40]",0.01,0.9,0,993,0.6221,0.7367,0.6307
"[60, 40]",0.01,0.9,0,980,0.6221,0.7554,0.6669
"[120, 60, 40]",0.01,0.9,0,1000,0.6221,0.6632,0.5612
[20],0.1,0.0,0,989,0.7364,0.7844,0.7204
"[30, 20]",0.1,0.0,0,997,0.7572,0.7994,0.7478
"[60, 20]",0.1,0.0,0,983,0.7676,0.8025,0.7519
"[60, 60, 20]",0.1,0.0,0,719,0.7636,0.8002,0.7508
"[120, 60, 20]",0.1,0.0,0,492,0.7597,0.8006,0.7543
[40],0.1,0.0,0,1000,0.752,0.7901,0.7311
"[40, 40]",0.1,0.0,0,985,0.7715,0.8056,0.7546
"[60, 40]",0.1,0.0,0,952,0.7689,0.8017,0.7548
"[120, 60, 40]",0.1,0.0,0,384,0.7637,0.8031,0.7542
[20],0.1,0.1,0,992,0.7364,0.7859,0.7223
"[30, 20]",0.1,0.1,0,961,0.7546,0.7995,0.7469
"[60, 20]",0.1,0.1,0,914,0.765,0.8013,0.748
"[60, 60, 20]",0.1,0.1,0,941,0.7727,0.7979,0.754
"[120, 60, 20]",0.1,0.1,0,581,0.7611,0.8007,0.7545
[40],0.1,0.1,0,997,0.7585,0.7907,0.7306
"[40, 40]",0.1,0.1,0,948,0.7676,0.8064,0.7564
"[60, 40]",0.1,0.1,0,1000,0.765,0.8042,0.7582
"[120, 60, 40]",0.1,0.1,0,559,0.7688,0.8045,0.7613
[20],0.1,0.2,0,998,0.7416,0.7835,0.7208
"[30, 20]",0.1,0.2,0,954,0.7559,0.7974,0.7447
"[60, 20]",0.1,0.2,0,1000,0.765,0.8032,0.7503
"[60, 60, 20]",0.1,0.2,0,758,0.7559,0.8008,0.7553
"[120, 60, 20]",0.1,0.2,0,553,0.7663,0.8018,0.7544
[40],0.1,0.2,0,976,0.7559,0.7918,0.7342
"[40, 40]",0.1,0.2,0,924,0.7663,0.8036,0.7535
"[60, 40]",0.1,0.2,0,925,0.7728,0.8049,0.7567
"[120, 60, 40]",0.1,0.2,0,535,0.7688,0.8062,0.7565
[20],0.1,0.3,0,999,0.7481,0.7855,0.7231
"[30, 20]",0.1,0.3,0,999,0.7611,0.8,0.7471
"[60, 20]",0.1,0.3,0,998,0.765,0.8019,0.7503
"[60, 60, 20]",0.1,0.3,0,817,0.7728,0.8077,0.7578
"[120, 60, 20]",0.1,0.3,0,721,0.7637,0.8029,0.7562
[40],0.1,0.3,0,999,0.7611,0.7933,0.7367
"[40, 40]",0.1,0.3,0,992,0.7715,0.802,0.7507
"[60, 40]",0.1,0.3,0,991,0.7701,0.8018,0.7529
"[120, 60, 40]",0.1,0.3,0,545,0.7715,0.8067,0.7556
[20],0.1,0.4,0,1000,0.752,0.7872,0.7263
"[30, 20]",0.1,0.4,0,997,0.765,0.8005,0.7481
"[60, 20]",0.1,0.4,0,965,0.7689,0.8022,0.7507
"[60, 60, 20]",0.1,0.4,0,991,0.7766,0.8024,0.7543
"[120, 60, 20]",0.1,0.4,0,787,0.7676,0.8055,0.7591
[40],0.1,0.4,0,995,0.7624,0.7919,0.7357
"[40, 40]",0.1,0.4,0,1000,0.7663,0.8033,0.7521
"[60, 40]",0.1,0.4,0,985,0.7676,0.803,0.7541
"[120, 60, 40]",0.1,0.4,0,780,0.7649,0.8051,0.7572
[20],0.1,0.5,0,997,0.7455,0.786,0.7262
"[30, 20]",0.1,0.5,0,997,0.7688,0.7951,0.743
"[60, 20]",0.1,0.5,0,984,0.7702,0.8018,0.7489
