MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[120, 60, 40]",0.0001,0.6,1,epoch_201,0.8035,0.1405,0.8774,0.1134,0.8408,0.1581,77,0.7628,0.8617,0.7895,26.2775
"[30, 20]",0.0001,0.6,3,epoch_251,0.7658,0.154,0.8693,0.1158,0.8331,0.1653,72,0.4326,0.8569,0.8034,115.0428
"[60, 60]",0.0001,0.6,3,epoch_216,0.7941,0.1395,0.8733,0.1175,0.8333,0.1688,71,0.7302,0.865,0.8023,23.1934
"[60, 60, 40]",0.0001,0.6,3,epoch_218,0.7964,0.1426,0.8726,0.1189,0.8345,0.1698,71,0.614,0.8567,0.7831,79.18
"[120, 60, 20]",0.0001,0.6,3,epoch_29,0.4325,0.0049,0.87,0.1044,0.842,0.1399,72,0.7674,0.8625,0.8024,70.776
"[120, 60, 40]",0.0001,0.6,3,epoch_26,0.4348,0.0082,0.8826,0.1075,0.8515,0.1452,71,0.7419,0.8697,0.8069,32.6875
"[30, 20]",0.001,0,1,epoch_41,0.752,0.1462,0.851,0.1239,0.819,0.1683,38,0.7535,0.845,0.7906,1.5423
"[60, 60]",0.001,0,1,epoch_15,0.7425,0.1248,0.8592,0.1146,0.8303,0.1538,8,0.7326,0.849,0.7955,8.4016
"[60, 60, 40]",0.001,0,1,epoch_15,0.7402,0.1406,0.8545,0.1196,0.8236,0.1611,7,0.7093,0.8458,0.7895,23.9517
"[120, 60, 20]",0.001,0,1,epoch_8,0.7991,0.1254,0.8622,0.1108,0.8326,0.1451,5,0.707,0.863,0.8217,35.3245
"[120, 60, 40]",0.001,0,1,epoch_4,0.7944,0.1365,0.8661,0.1157,0.8328,0.1556,3,0.8023,0.8653,0.8189,33.3165
"[30, 20]",0.001,0,3,epoch_3,0.4325,0.0049,0.862,0.1233,0.8259,0.1666,9,0.7651,0.8491,0.7906,42.2604
"[60, 60]",0.001,0,3,epoch_8,0.7401,0.1322,0.8593,0.1177,0.8247,0.1593,2,0.7907,0.8617,0.8082,39.2559
"[60, 60, 40]",0.001,0,3,epoch_10,0.7424,0.1309,0.8587,0.118,0.8201,0.1666,9,0.7372,0.8518,0.7855,11.5718
"[120, 60, 20]",0.001,0,3,epoch_3,0.4795,0.0599,0.8739,0.1032,0.8425,0.1399,7,0.7884,0.86,0.8103,21.8742
"[120, 60, 40]",0.001,0,3,epoch_0,0.4325,0.0049,0.8801,0.1094,0.8481,0.1476,0,0.4326,0.876,0.8222,156.0719
"[30, 20]",0.001,0.2,1,epoch_37,0.752,0.15,0.8533,0.1227,0.8176,0.1688,51,0.7605,0.8445,0.759,1.0791
"[60, 60]",0.001,0.2,1,epoch_6,0.7262,0.1274,0.8581,0.1193,0.8292,0.1573,8,0.7349,0.8431,0.7771,8.9407
"[60, 60, 40]",0.001,0.2,1,epoch_12,0.7331,0.1387,0.8608,0.1176,0.8246,0.1664,31,0.7744,0.848,0.7492,0.9126
"[120, 60, 20]",0.001,0.2,1,epoch_13,0.7966,0.1304,0.8629,0.1134,0.8295,0.1533,8,0.7977,0.858,0.8018,18.2003
"[120, 60, 40]",0.001,0.2,1,epoch_4,0.7918,0.1399,0.867,0.1151,0.8336,0.1569,7,0.7581,0.8557,0.7974,11.386
"[30, 20]",0.001,0.2,3,epoch_4,0.4325,0.0049,0.8602,0.1227,0.827,0.1627,39,0.7628,0.8467,0.7817,1.5318
"[60, 60]",0.001,0.2,3,epoch_10,0.7423,0.1333,0.8624,0.1157,0.8249,0.1611,13,0.7419,0.8536,0.7882,4.0373
"[60, 60, 40]",0.001,0.2,3,epoch_19,0.7563,0.1507,0.8603,0.1188,0.8223,0.1676,13,0.7465,0.8485,0.7679,5.1664
"[120, 60, 20]",0.001,0.2,3,epoch_2,0.4325,0.0049,0.8718,0.1053,0.8388,0.1443,9,0.7953,0.8558,0.7961,14.9715
"[120, 60, 40]",0.001,0.2,3,epoch_0,0.4325,0.0049,0.8786,0.1083,0.8482,0.1454,8,0.7628,0.8602,0.7986,8.7131
"[30, 20]",0.001,0.4,1,epoch_43,0.764,0.1542,0.8576,0.1274,0.8214,0.1749,53,0.7698,0.851,0.7743,1.3056
"[60, 60]",0.001,0.4,1,epoch_7,0.7121,0.1217,0.859,0.1187,0.8281,0.1596,16,0.7488,0.8522,0.7827,3.2376
"[60, 60, 40]",0.001,0.4,1,epoch_22,0.7798,0.156,0.8661,0.1172,0.8311,0.1647,31,0.7837,0.8551,0.7569,1.1771
"[120, 60, 20]",0.001,0.4,1,epoch_13,0.7943,0.1295,0.8687,0.1113,0.8355,0.1498,10,0.8,0.8573,0.7956,16.2817
"[120, 60, 40]",0.001,0.4,1,epoch_14,0.7659,0.1421,0.8702,0.1146,0.8371,0.1558,5,0.7628,0.8561,0.7964,25.8101
"[30, 20]",0.001,0.4,3,epoch_2,0.4325,0.0049,0.8635,0.1223,0.8279,0.1664,38,0.7884,0.8523,0.7911,2.0727
"[60, 60]",0.001,0.4,3,epoch_11,0.7333,0.134,0.867,0.1153,0.8288,0.1624,3,0.8023,0.86,0.7944,34.6376
"[60, 60, 40]",0.001,0.4,3,epoch_20,0.7589,0.1437,0.8665,0.117,0.8267,0.1691,14,0.7326,0.8538,0.7704,6.6168
"[120, 60, 20]",0.001,0.4,3,epoch_11,0.7847,0.1188,0.8749,0.1038,0.842,0.1416,10,0.786,0.8609,0.7969,17.2789
"[120, 60, 40]",0.001,0.4,3,epoch_1,0.4441,0.0255,0.8797,0.1059,0.8489,0.1452,9,0.7558,0.8646,0.7998,9.748
"[30, 20]",0.001,0.6,1,epoch_46,0.7662,0.1618,0.8612,0.1305,0.8241,0.1801,15,0.7163,0.8344,0.7673,58.323
"[60, 60]",0.001,0.6,1,epoch_36,0.7989,0.1413,0.8753,0.1206,0.8363,0.1723,3,0.7605,0.8271,0.7711,36.1307
"[60, 60, 40]",0.001,0.6,1,epoch_37,0.8012,0.1385,0.8738,0.123,0.8349,0.1743,3,0.4326,0.8041,0.7542,164.8221
"[120, 60, 20]",0.001,0.6,1,epoch_26,0.7963,0.1242,0.874,0.1105,0.8376,0.1537,2,0.4326,0.8189,0.7861,167.7579
"[120, 60, 40]",0.001,0.6,1,epoch_14,0.7356,0.1379,0.872,0.1148,0.8372,0.1564,5,0.7791,0.8507,0.7958,50.8726
"[30, 20]",0.001,0.6,3,epoch_34,0.7775,0.1555,0.8674,0.1169,0.8315,0.1659,3,0.4326,0.8505,0.7881,206.666
"[60, 60]",0.001,0.6,3,epoch_12,0.7054,0.1287,0.8698,0.115,0.8316,0.1617,3,0.807,0.8585,0.7967,46.1656
"[60, 60, 40]",0.001,0.6,3,epoch_37,0.7966,0.1379,0.8704,0.1224,0.8289,0.1772,16,0.6023,0.8522,0.7582,15.3253
"[120, 60, 20]",0.001,0.6,3,epoch_12,0.7423,0.127,0.8787,0.1022,0.8425,0.1439,15,0.7349,0.861,0.7823,16.9349
"[120, 60, 40]",0.001,0.6,3,epoch_2,0.4948,0.0795,0.8797,0.1058,0.8476,0.1453,3,0.7442,0.8747,0.8279,91.6999
"[30, 20]",0.01,0,1,epoch_5,0.7404,0.1429,0.8522,0.1214,0.8192,0.1628,2,0.6907,0.8302,0.7662,9.7773
"[60, 60]",0.01,0,1,epoch_1,0.7309,0.1323,0.8562,0.1138,0.8252,0.1523,0,0.686,0.8488,0.7984,10.6902
